Look up table showing relationship of Lower Super Output Areas (LSOAs) to Wards*,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
LSOA CODE,LSOA name,Ward code,WARD *,Local Authority,,,,,,,,,,,,
E01030347,Elmbridge 016B,E05007264,St George`s Hill,Elmbridge,,,,,,,,,,,,
E01030348,Elmbridge 016C,E05007264,St George`s Hill,Elmbridge,,,,,,,,,,,,
E01030349,Elmbridge 016D,E05007264,St George`s Hill,Elmbridge,,,,,,,,,,,,
E01030300,Elmbridge 017A,E05007252,Cobham and Downside,Elmbridge,,,,,,,,,,,,
E01030301,Elmbridge 017B,E05007252,Cobham and Downside,Elmbridge,,,,,,,,,,,,
E01030302,Elmbridge 017C,E05007252,Cobham and Downside,Elmbridge,,,,,,,,,,,,
E01030304,Elmbridge 017D,E05007253,Cobham Fairmile,Elmbridge,,,,,,,,,,,,
E01030305,Elmbridge 017E,E05007253,Cobham Fairmile,Elmbridge,,,,,,,,,,,,
E01030306,Elmbridge 017F,E05007253,Cobham Fairmile,Elmbridge,,,,,,,,,,,,
E01030303,Elmbridge 018A,E05007252,Cobham and Downside,Elmbridge,,,,,,,,,,,,
E01030342,Elmbridge 018B,E05007263,Oxshott and Stoke D`Abernon,Elmbridge,,,,,,,,,,,,
E01030343,Elmbridge 018C,E05007263,Oxshott and Stoke D`Abernon,Elmbridge,,,,,,,,,,,,
E01030344,Elmbridge 018D,E05007263,Oxshott and Stoke D`Abernon,Elmbridge,,,,,,,,,,,,
E01030345,Elmbridge 018E,E05007263,Oxshott and Stoke D`Abernon,Elmbridge,,,,,,,,,,,,
E01030386,Epsom and Ewell 001A,E05007276,Cuddington,Epsom and Ewell,,,,,,,,,,,,
E01030387,Epsom and Ewell 001B,E05007276,Cuddington,Epsom and Ewell,,,,,,,,,,,,
E01030388,Epsom and Ewell 001C,E05007276,Cuddington,Epsom and Ewell,,,,,,,,,,,,
E01030389,Epsom and Ewell 001D,E05007276,Cuddington,Epsom and Ewell,,,,,,,,,,,,
E01030393,Epsom and Ewell 001E,E05007278,Ewell Court,Epsom and Ewell,,,,,,,,,,,,
E01030394,Epsom and Ewell 002A,E05007278,Ewell Court,Epsom and Ewell,,,,,,,,,,,,
E01030399,Epsom and Ewell 002B,E05007280,Ruxley,Epsom and Ewell,,,,,,,,,,,,
E01030400,Epsom and Ewell 002C,E05007280,Ruxley,Epsom and Ewell,,,,,,,,,,,,
E01030414,Epsom and Ewell 002D,E05007284,West Ewell,Epsom and Ewell,,,,,,,,,,,,
E01030377,Epsom and Ewell 003A,E05007273,Auriol,Epsom and Ewell,,,,,,,,,,,,
E01030378,Epsom and Ewell 003B,E05007273,Auriol,Epsom and Ewell,,,,,,,,,,,,
E01030406,Epsom and Ewell 003C,E05007282,Stoneleigh,Epsom and Ewell,,,,,,,,,,,,
E01030407,Epsom and Ewell 003D,E05007282,Stoneleigh,Epsom and Ewell,,,,,,,,,,,,
E01030408,Epsom and Ewell 003E,E05007282,Stoneleigh,Epsom and Ewell,,,,,,,,,,,,
E01030395,Epsom and Ewell 004A,E05007278,Ewell Court,Epsom and Ewell,,,,,,,,,,,,
E01030413,Epsom and Ewell 004B,E05007284,West Ewell,Epsom and Ewell,,,,,,,,,,,,
E01030415,Epsom and Ewell 004C,E05007284,West Ewell,Epsom and Ewell,,,,,,,,,,,,
E01030416,Epsom and Ewell 004D,E05007284,West Ewell,Epsom and Ewell,,,,,,,,,,,,
E01030383,Epsom and Ewell 005A,E05007275,Court,Epsom and Ewell,,,,,,,,,,,,
E01030384,Epsom and Ewell 005B,E05007275,Court,Epsom and Ewell,,,,,,,,,,,,
E01030401,Epsom and Ewell 005C,E05007280,Ruxley,Epsom and Ewell,,,,,,,,,,,,
E01030402,Epsom and Ewell 005D,E05007281,Stamford,Epsom and Ewell,,,,,,,,,,,,
E01030385,Epsom and Ewell 007A,E05007275,Court,Epsom and Ewell,,,,,,,,,,,,
E01030391,Epsom and Ewell 007B,E05007277,Ewell,Epsom and Ewell,,,,,,,,,,,,
E01030403,Epsom and Ewell 007C,E05007281,Stamford,Epsom and Ewell,,,,,,,,,,,,
E01030404,Epsom and Ewell 007D,E05007281,Stamford,Epsom and Ewell,,,,,,,,,,,,
E01030409,Epsom and Ewell 007E,E05007283,Town (Epsom),Epsom and Ewell,,,,,,,,,,,,
E01030410,Epsom and Ewell 007F,E05007283,Town (Epsom),Epsom and Ewell,,,,,,,,,,,,
E01030381,Epsom and Ewell 008A,E05007274,College,Epsom and Ewell,,,,,,,,,,,,
E01030411,Epsom and Ewell 008B,E05007283,Town (Epsom),Epsom and Ewell,,,,,,,,,,,,
